| Status | Endpoint                                | Documentation URL                                                                              |
|--------|----------------------------------------|-----------------------------------------------------------------------------------------------|
| DONE   | **GET Get Information**                 | https://doc.evolution-api.com/v2/api-reference/get-information                                  |
| DONE   | **POST Create Instance**                | https://doc.evolution-api.com/v2/api-reference/instance-controller/create-instance               |
| DONE   | **GET Fetch Instances**                 | https://doc.evolution-api.com/v2/api-reference/instance-controller/fetch-instances               |
| DONE   | **GET Instance Connect**                | https://doc.evolution-api.com/v2/api-reference/instance-controller/instance-connect              |
| DONE   | **PUT Restart Instance**                | https://doc.evolution-api.com/v2/api-reference/instance-controller/restart-instance              |
| DONE   | **GET Connection State**                | https://doc.evolution-api.com/v2/api-reference/instance-controller/connection-state              |
| DONE   | **DEL Logout Instance**                 | https://doc.evolution-api.com/v2/api-reference/instance-controller/logout-instance               |
| DONE   | **DEL Delete Instance**                 | https://doc.evolution-api.com/v2/api-reference/instance-controller/delete-instance               |
| DONE   | **POST Set Presence**                   | https://doc.evolution-api.com/v2/api-reference/instance-controller/set-presence                  |
| DONE   | **POST Set Webhook**                    | https://doc.evolution-api.com/v2/api-reference/webhook/set-webhook                               |
| DONE   | **GET Find Webhook**                    | https://doc.evolution-api.com/v2/api-reference/webhook/find-webhook                              |
| DONE   | **POST Set Settings**                   | https://doc.evolution-api.com/v2/api-reference/settings/set-settings                             |
| DONE   | **GET Find Settings**                   | https://doc.evolution-api.com/v2/api-reference/settings/find-settings                            |
| DONE   | **POST Send Plain Text**                | https://doc.evolution-api.com/v2/api-reference/send-message/send-plain-text                      |
| DONE   | **POST Send Status**                    | https://doc.evolution-api.com/v2/api-reference/send-message/send-status                          |
| DONE   | **POST Send Media**                     | https://doc.evolution-api.com/v2/api-reference/send-message/send-media                           |
| DONE   | **POST Send WhatsApp Audio**            | https://doc.evolution-api.com/v2/api-reference/send-message/send-whatsapp-audio                  |
| DONE   | **POST Send Sticker**                   | https://doc.evolution-api.com/v2/api-reference/send-message/send-sticker                         |
| DONE   | **POST Send Location**                  | https://doc.evolution-api.com/v2/api-reference/send-message/send-location                        |
| DONE   | **POST Send Contact**                   | https://doc.evolution-api.com/v2/api-reference/send-message/send-contact                         |
| DONE   | **POST Send Reaction**                  | https://doc.evolution-api.com/v2/api-reference/send-message/send-reaction                        |
| DONE   | **POST Send Poll**                      | https://doc.evolution-api.com/v2/api-reference/send-message/send-poll                            |
| DONE   | **POST Send List**                      | https://doc.evolution-api.com/v2/api-reference/send-message/send-list                            |
| DONE   | **POST Send Buttons**                   | https://doc.evolution-api.com/v2/api-reference/send-message/send-buttons                         |
|        | **POST Check is WhatsApp**              | https://doc.evolution-api.com/v2/api-reference/chat-controller/check-is-whatsapp                 |
|        | **POST Mark Message As Read**           | https://doc.evolution-api.com/v2/api-reference/chat-controller/mark-message-as-read              |
|        | **POST Mark Message As Unread**         | https://doc.evolution-api.com/v2/api-reference/chat-controller/mark-message-as-unread            |
